country,average_score,safety_and_security,personal_freedom,governance,social_capital,economic_quality,living_conditions,health,education,natural_environment
 Denmark,84.55,92.59,94.09,89.45,82.56,76.81,95.77,81.07,87.48,73.94
 Sweden,83.67,90.97,91.9,86.41,78.29,76.18,95.33,82.28,85.92,78.74
 Norway,83.59,93.3,94.1,89.66,79.03,77.25,94.7,82.98,85.68,72.37
 Finland,83.47,89.56,91.96,90.41,77.27,70.28,94.46,81.19,88.38,77.99
  Switzerland,83.42,95.66,87.5,87.67,69.14,79.71,94.66,82.11,87.72,73.6
 Netherlands,82.32,91.19,90.08,87.34,74.03,74.34,95.86,82.05,86.43,62.49
 Luxembourg,81.83,96.32,89.2,86.31,66.6,76.93,94.56,81.59,78.79,71.98
 Iceland,81.02,91.64,88.74,83.3,77.75,69.92,93.82,82.72,85.19,71.01
 Germany,80.81,87.92,87.7,84.39,65.96,73.96,94.42,81.41,83.45,71.69
 New Zealand,80.47,85.07,87.56,87.19,79.88,69.88,90.66,79.84,83.89,71.71
 Ireland,80.31,90.97,88.59,81.72,67.73,77.81,92.65,80.04,85.0,69.48
 United Kingdom,79.95,87.63,85.64,80.63,67.77,73.31,94.16,78.31,84.81,68.65
 Canada,79.62,87.92,86.62,82.34,73.6,65.34,93.49,78.88,84.19,69.09
 Austria,79.38,90.94,85.99,81.19,67.94,68.41,92.51,80.23,81.93,72.97
 Australia,79.36,87.91,84.53,82.81,77.42,68.89,93.06,80.36,85.99,69.15
 Japan,78.22,92.78,79.14,79.67,43.82,66.35,92.86,86.5,84.93,70.11
 Singapore,78.21,92.05,48.63,79.12,64.68,80.1,93.35,86.89,91.44,55.28
 Belgium,77.84,85.76,87.7,80.31,64.55,66.39,92.78,80.6,84.79,63.23
 United States,77.44,72.43,78.85,75.18,73.91,72.34,90.74,73.26,83.15,66.69
 Taiwan,77.36,92.96,79.23,77.68,60.42,73.86,90.22,83.37,84.61,56.57
 Estonia,77.31,86.12,87.2,79.03,61.94,73.32,91.95,77.71,82.19,72.38
 Hong Kong,76.9,89.16,53.28,72.31,57.03,78.19,91.36,81.33,85.81,64.69
 France,76.73,82.98,79.06,77.24,60.6,65.81,92.61,80.46,81.27,70.87
 Spain,76.03,86.87,83.65,72.48,69.27,57.91,93.81,79.66,80.98,64.02
 Czech Republic,75.08,90.64,82.53,68.72,61.62,72.12,91.64,79.49,80.66,66.74
 Portugal,74.64,86.03,85.78,73.19,62.92,60.63,91.85,77.44,77.64,64.09
 Slovenia,74.54,90.05,75.8,63.66,62.69,64.87,91.23,79.88,81.8,74.09
 Malta,74.36,89.11,81.05,70.26,68.19,72.04,92.98,80.54,78.33,53.2
 South Korea,74.07,83.03,73.07,69.14,51.59,74.59,91.47,84.8,87.76,57.82
 Italy,73.03,86.54,78.44,62.33,60.97,57.77,91.51,80.9,80.0,64.14
 Latvia,72.99,85.14,81.39,68.82,55.06,65.11,87.88,74.52,81.36,75.48
 Lithuania,72.54,86.78,79.62,72.57,47.26,65.4,88.11,74.43,81.8,69.64
 Israel,72.25,59.6,68.54,75.4,54.44,70.96,93.5,83.1,81.63,54.09
 Cyprus,71.82,80.32,78.31,65.69,56.86,62.65,90.17,79.23,79.14,62.69
 Slovakia,71.15,87.27,78.6,61.93,61.15,63.32,89.47,76.74,72.75,67.84
 Chile,70.18,70.27,76.35,66.98,59.48,63.25,87.7,76.06,73.47,61.29
 Poland,70.15,86.74,67.09,58.03,63.27,63.63,90.01,76.31,78.63,61.76
 Uruguay,69.69,79.43,84.87,72.82,66.76,55.53,86.04,77.98,70.64,59.61
 Costa Rica,69.59,77.8,84.74,68.0,63.45,55.84,81.25,79.09,71.71,68.58
 Greece,68.48,84.2,73.3,60.81,52.31,49.58,89.75,77.43,79.34,65.35
 Croatia,68.24,84.39,75.16,56.15,52.19,60.36,88.5,75.74,73.54,67.45
 Hungary,66.88,83.8,60.36,45.75,59.51,66.05,88.37,76.7,77.34,62.95
 Malaysia,66.84,70.81,46.9,57.23,57.9,64.98,79.52,77.35,72.94,61.07
 United Arab Emirates,66.69,77.15,31.27,63.51,55.16,66.79,84.88,78.38,74.72,51.11
 Romania,66.4,83.65,73.56,57.11,49.96,62.04,82.3,73.02,70.47,61.11
 Qatar,66.24,86.96,30.66,58.19,59.2,73.55,84.84,77.64,69.15,49.08
 Mauritius,65.65,80.8,68.3,63.85,61.47,52.93,80.22,71.86,68.68,50.97
 Bulgaria,65.55,74.84,68.31,53.12,54.62,62.46,83.43,74.11,72.79,57.72
 Montenegro,65.01,80.95,68.59,55.9,59.33,54.03,83.71,68.44,71.69,53.73
 Panama,64.32,77.66,67.24,49.81,60.37,60.09,76.36,75.1,57.63,67.8
 Seychelles,63.65,76.03,61.62,60.46,58.97,48.05,79.59,77.44,66.43,59.19
 Serbia,62.75,79.8,60.46,44.79,61.27,55.37,87.69,71.93,73.02,49.64
 Georgia,62.28,69.34,65.58,56.04,52.1,51.19,76.55,70.64,72.33,50.05
 China,62.15,67.96,21.22,48.47,62.67,68.46,85.05,83.11,70.42,47.69
 Macedonia,61.95,75.76,64.71,48.48,55.7,52.73,83.35,72.63,61.04,54.59
 Trinidad and Tobago,61.91,68.93,73.22,53.33,56.27,53.22,82.25,74.13,65.96,52.85
 Jamaica,61.39,60.01,75.12,55.5,53.68,48.02,78.19,73.83,64.13,52.2
 Argentina,61.38,69.72,76.19,49.52,63.3,41.86,82.08,74.45,69.25,60.41
 Peru,61.27,67.53,66.52,48.14,53.59,55.34,69.55,75.81,64.96,64.04
 Kuwait,60.93,77.12,43.15,47.04,52.71,59.91,87.69,77.33,64.29,48.27
 Armenia,60.92,70.48,62.56,50.0,47.95,50.35,77.05,73.48,69.19,53.92
 Bahrain,60.92,66.54,27.75,44.73,58.78,57.09,85.99,76.24,68.65,46.95
 Indonesia,60.88,69.86,53.59,55.24,60.62,55.98,69.55,71.13,60.93,56.4
 Thailand,60.79,60.87,43.25,40.24,63.19,63.07,78.34,78.92,64.9,52.23
 Albania,60.69,74.9,61.59,48.44,47.47,45.44,76.17,73.95,70.07,58.64
 Brazil,60.07,60.14,63.15,47.12,61.83,50.58,81.37,71.68,59.71,69.35
 Oman,59.85,81.59,33.7,47.6,53.61,54.85,78.6,75.44,62.0,44.41
 Dominican Republic,59.85,63.77,69.45,46.32,59.32,54.33,73.4,70.64,55.55,58.98
 Kazakhstan,59.53,69.59,39.43,44.4,51.27,63.31,82.44,72.23,78.8,50.18
 Moldova,59.44,72.79,63.52,47.95,56.55,47.17,79.75,70.57,71.02,51.93
 Mexico,59.3,43.54,58.33,43.89,58.18,60.17,74.22,73.09,63.93,58.4
 Bosnia and Herzegovina,59.11,78.67,62.75,38.69,54.92,52.37,84.38,70.5,61.93,48.56
 Vietnam,58.86,69.1,34.85,47.86,65.97,60.33,71.8,76.99,66.56,52.09
 Ukraine,58.84,54.31,62.77,45.95,58.57,51.37,78.05,68.71,77.58,55.15
 South Africa,58.67,52.33,73.87,57.63,60.99,52.71,68.31,59.9,52.56,47.29
 Paraguay,58.56,73.55,61.38,43.14,62.51,50.06,76.09,70.84,52.1,62.89
 Russia,58.5,51.57,34.38,41.05,58.79,62.86,78.5,71.38,81.87,56.42
 Belarus,58.4,71.08,32.64,35.77,45.87,60.83,86.26,74.34,81.24,62.12
 Saudi Arabia,58.35,66.15,20.87,47.72,51.98,57.77,77.87,75.34,67.77,48.12
 Cabo Verde,58.34,81.78,72.66,61.12,53.31,41.07,69.14,72.75,53.96,55.78
 Colombia,58.01,36.59,57.92,46.92,58.09,50.01,73.18,77.78,63.33,62.46
 Suriname,57.91,73.99,69.41,47.72,53.21,44.69,78.16,60.8,56.49,68.72
 Botswana,57.83,72.1,66.64,61.46,49.88,56.28,59.67,59.07,54.5,46.93
 Philippines,57.53,46.23,57.2,45.69,64.66,57.79,64.56,70.06,61.55,56.67
 Ecuador,57.42,67.6,63.66,42.88,57.09,42.97,69.69,71.8,62.24,60.18
 Jordan,57.14,70.52,43.66,49.44,40.45,41.7,80.08,68.92,60.79,46.02
 São Tomé and Príncipe,57.09,79.74,69.6,51.43,52.89,50.57,60.41,70.54,48.95,54.62
 Mongolia,57.07,74.24,66.26,49.25,58.78,50.62,66.51,66.74,69.12,45.61
 Guyana,56.93,66.51,64.68,48.58,53.18,54.77,74.54,62.47,56.87,60.54
 Namibia,56.38,73.44,67.7,58.26,53.48,39.77,56.79,60.64,49.0,54.03
